Wedges?,Combination,Metric,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,full
No,AUPAJC,T30,0.297333333,0.498,0.482,0.617,0.810333333,0.793666667,0.961666667,0.963,1.100666667,1.121666667,1.203333333,1.362,1.392333333,1.366333333,1.375,1.376333333,1.304333333,1.295333333,1.196,1.07,0.995,0.853,0.724,0.591666667,1.349
No,AUPAJC,T60M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,AUPAJC,TS,0.043,0.0312,0.034,0.021,0.047,0.08,0.072,0.056,0.0422,0.0338,0.039,0.0474,0.04,0.04,0.0452,0.0522,0.06,0.0544,0.0422,0.0628,0.046,0.05,0.0474,0.0348,0.046
No,AUPAJC,Topt,0.1946,0.4742,0.2988,0.685,0.8054,0.826,0.936,1.0266,1.1656,1.1744,1.2078,1.3604,1.3478,1.4034,1.4142,1.4156,1.2974,1.2846,1.2164,1.0694,0.8944,0.772,0.6868,0.5822,1.1822
No,A0AJC,C50,3.8725,7.4725,7.18,14.115,12.7675,9.08,5.8125,2.78,9.23,7.1,5.44,8.2425,9.7575,9.58,3.9975,4.405,5.0075,4.9725,6.8,6.2825,11.7575,13.2075,14.335,15.265,10.47
No,A0AJC,C80,12.605,13.02,10.0025,17.635,13.825,10.9125,8.5425,4.175,9.55,8.7725,6.9675,9.6375,10.4575,10.845,6.0475,6.6225,7.0275,7.0475,9.48,8.4,14.2475,16.2625,17.36,19.5325,12.585
No,A0AJC,D50,70.925,84.8,83.95,96.275,94.95,89.025,79.225,65.475,89.325,83.675,77.75,86.95,90.425,90.075,71.5,73.4,75.975,75.85,82.725,80.925,93.725,95.45,96.425,97.1,91.75
No,A0AJC,EDT,0.438,0.3825,0.546,0.165,0.15175,0.36025,0.53425,1.40625,0.5385,0.5885,1.059,0.90875,0.4795,0.533,1.11175,1.06775,1.144,1.102,0.9865,0.8835,0.311,0.08625,0.08825,0.1305,0.403
No,A0AJC,T20,0.31125,0.25225,0.32225,0.52125,0.68275,0.99825,0.8235,0.65425,0.928,0.9765,1.059,1.41075,1.21075,1.28025,1.27425,1.279,1.28175,1.23375,1.1695,1.02075,0.936,0.76375,0.612,0.49875,1.044
No,A0AJC,T30,0.382,0.48025,0.49225,0.62875,0.84625,0.93375,1.007,0.83875,1.0715,0.98575,1.1655,1.3415,1.2355,1.3465,1.33175,1.2805,1.2805,1.27575,1.18825,1.0705,0.98425,0.80475,0.664,0.541,1.18775
No,A0AJC,T60M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,A0AJC,TS,0.04,0.028,0.028,0.017,0.018,0.03025,0.037,0.0595,0.03125,0.034,0.0395,0.024,0.02,0.02,0.054,0.04225,0.04225,0.045,0.028,0.03325,0.01125,0.00725,0.00575,0.0045,0.013
No,A0AJC,Topt,0.3025,0.25225,0.45525,0.711,0.8325,0.9205,1.01025,1.06325,1.1615,1.05,1.24725,1.35475,1.27025,1.4185,1.30025,1.28175,1.28525,1.23575,1.18525,1.02725,0.9765,0.82,0.68625,0.53625,1.0475
No,BSAJC,C50,6.935,3.95,1.08,4.1825,3.745,5.7275,-3.695,1.3325,0.84,4.1625,-2.71,-2.23,-0.7075,-4.8075,-1.925,-3.975,-1.115,0.1225,0.22,-1.2875,-1.14,0.7,1.7225,2.0675,-0.4125
No,BSAJC,C80,7.8525,8.3325,9.575,7.22,7.74,7.985,5.3625,2.625,1.5575,6.57,2.71,3.0075,1.2775,0.6875,1.6,0.19,1.73,3.715,2.97,1.7425,2.2575,3.8225,4.9525,6.3025,2.8775
No,BSAJC,D50,83.125,71.3,56.175,72.35,70.3,78.875,29.9,57.6,54.8,72.25,34.9,37.45,45.95,24.875,39.1,28.6,43.575,50.7,51.3,42.625,43.45,54.025,59.8,61.675,47.625
No,BSAJC,EDT,0.8575,0.65525,0.626,0.65225,0.7145,0.70025,0.8235,1.29525,1.0445,0.946,0.9625,0.9395,1.4835,1.34375,1.125,1.26725,1.2135,1.00475,1.081,1.07275,0.99475,0.848,0.763,0.61725,1.04825
No,BSAJC,T20,0.522,0.801,0.86775,0.8795,0.7415,1.05925,0.9315,0.92,0.984,1.02025,1.2075,1.3265,1.25875,1.30275,1.439,1.33625,1.27575,1.29225,1.2515,1.13975,0.9935,0.883,0.7725,0.69475,1.54925
No,BSAJC,T30,0,0.81425,0.78525,0.8455,1.02925,0.98975,0.94025,1.00775,1.02825,1.1455,1.25125,1.2905,1.267,1.3525,1.41175,1.43725,1.3205,1.3285,1.3545,1.1675,1.03675,0.93275,0.40925,0,2.414
No,BSAJC,T60M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,BSAJC,TS,0.0435,0.04875,0.04625,0.05475,0.042,0.037,0.07575,0.074,0.068,0.04725,0.08275,0.07875,0.09,0.103,0.093,0.10475,0.0895,0.07275,0.077,0.0825,0.0775,0.064,0.0565,0.04875,0.07825
No,BSAJC,Topt,0.5495,0.805,0.7835,0.8395,0.98625,0.96775,0.9215,0.98125,1.05075,1.14625,1.27325,1.29725,1.277,1.38225,1.43725,1.4755,1.32275,1.3215,1.26775,1.16525,1.01475,0.869,0.73,0.705,1.76725
No,BUPAJC,C50,8.78,2.336,0.464,6.138,3.178,5.55,-3.14,0.67,-1.178,-0.72,-6.184,-6.988,-4.542,-5.706,-1.244,-1.49,-3.426,-3.82,-4.918,-3.338,-3.058,-1.94,-1.47,-1.412,-2.686
No,BUPAJC,C80,10.338,7.458,9.414,10.136,8.2,8.314,6.328,2.362,0.168,2.946,4.524,4.508,-0.742,4.176,3.094,0.89,0.84,0.738,-0.212,0.98,1.484,2.928,3.664,4.902,2.41
No,BUPAJC,D50,88.2,63.08,52.66,80.38,67.52,78.22,32.66,53.84,43.28,45.86,19.4,16.84,26.04,21.66,42.88,41.5,31.24,29.34,24.42,31.68,33.14,39.04,41.66,42,35.02
No,BUPAJC,EDT,0.5396,0.6834,0.6252,0.4458,0.6506,0.7186,0.7548,0.9238,1.1232,1.0046,0.7114,1.028,1.5444,1.0968,1.327,1.386,1.4148,1.1586,1.1876,1.061,0.9684,0.8484,0.7048,0.6782,1.0304
No,BUPAJC,T20,0.575,0.784,1.027,0.83,0.83125,0.9495,0.9205,1.004,1.20075,1.224,1.141,1.23625,1.3235,1.42975,1.29625,1.40825,1.3055,1.29875,1.1515,1.085,1.02125,0.88375,0.772,0.6595,1.4
No,BUPAJC,T30,0.61,0.8065,0.852,0.805,1.0155,0.9465,0.966,0.9465,1.0955,1.1855,1.159,1.308,1.3255,1.382,1.384,1.4355,1.3215,1.3,1.208,1.1665,1.063,0.9275,0,0,1.451
No,BUPAJC,T60M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,BUPAJC,TS,0.0342,0.053,0.0478,0.043,0.0428,0.04,0.0736,0.073,0.087,0.0832,0.0818,0.0896,0.1254,0.0884,0.0896,0.0932,0.1024,0.099,0.1022,0.0932,0.086,0.0758,0.069,0.0608,0.0858
No,BUPAJC,Topt,0.6184,0.7696,0.7868,0.8234,0.919,0.9486,0.9232,0.961,1.1298,1.1926,1.1392,1.3296,1.3292,1.3804,1.4166,1.4144,1.3386,1.3246,1.172,1.0986,1.0352,0.917,0.7866,0.676,1.3798
No,WEUPAJC,C50,5.756,13.83,5.97,8.658,4.534,2.284,1.05,-0.644,3.482,3.392,3.304,2.556,4.454,1.88,3.668,5.138,3.004,5.652,5.154,2.722,2.61,3.256,3.974,4.662,3.798
No,WEUPAJC,C80,12.952,17.096,9.118,9.67,8.692,7.852,6.816,5.198,4.738,4.59,4.802,5.272,7.286,4.098,6.054,6.528,3.918,7.308,7.548,5.148,5.358,5.952,7.214,8.832,6.284
No,WEUPAJC,D50,78.98,96.02,79.82,88.02,73.98,62.84,56.02,46.3,69.04,68.6,68.14,64.32,73.62,60.68,69.92,76.54,66.62,78.62,76.64,65.18,64.6,67.92,71.38,74.5,70.56
No,WEUPAJC,EDT,0.3832,0.2428,0.5692,0.5516,0.7078,0.5716,0.758,0.7844,0.7654,1.1748,1.1874,1.3172,0.9122,1.3,1.2188,1.2834,1.502,1.343,1.0682,0.9718,0.8962,0.8416,0.678,0.5254,0.9242
No,WEUPAJC,T20,0.6278,0.4122,0.4482,0.5034,1.1396,0.9356,0.9304,0.9024,0.8676,0.9914,1.1602,1.2732,1.2658,1.1796,1.2902,1.342,1.2884,1.356,1.1592,1.0546,0.9486,0.7938,0.6664,0.5278,1.1874
No,WEUPAJC,T30,0.5265,0.5085,0.36625,0.592,0.897,0.923,0.96425,0.88825,1.04175,1.02825,1.17075,1.27025,1.3565,1.309,1.37075,1.36275,1.291,1.326,1.2165,1.07775,0.9765,0.84475,0.73625,0.58075,1.68675
No,WEUPAJC,T60M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,WEUPAJC,TS,0.0378,0.023,0.0328,0.025,0.0458,0.052,0.054,0.062,0.047,0.0558,0.057,0.063,0.0438,0.064,0.0528,0.045,0.0596,0.0358,0.0352,0.055,0.0504,0.0438,0.0392,0.039,0.0452
No,WEUPAJC,Topt,0.5708,0.5292,0.4252,0.656,0.798,0.865,0.9852,0.9462,1.1916,0.9492,1.1916,1.2958,1.3612,1.267,1.3836,1.3538,1.2916,1.3558,1.1978,1.0776,0.9508,0.8044,0.6314,0.5724,1.1756
